checkpoint,precision,recall,f1
checkpoint-21864,0.7405005057670982,0.7601410934744268,0.7288526435696508
checkpoint-22775,0.7408362248010912,0.7592592592592593,0.730687407669246
checkpoint-16398,0.7500579390575622,0.7601410934744268,0.7341407281029018
checkpoint-20953,0.7500430232804562,0.7663139329805997,0.7374782511288975
checkpoint-19131,0.7317431300048888,0.7610229276895943,0.7337332155630797
checkpoint-15487,0.7323143718024034,0.7522045855379189,0.7247810494532945
checkpoint-5466,0.7357985487279524,0.7663139329805997,0.7362299062399988
checkpoint-3644,0.751491262160374,0.7654320987654321,0.7442357549235511
checkpoint-7288,0.7365365951944108,0.7583774250440917,0.7328261861107558
checkpoint-4555,0.7457941021575193,0.7557319223985891,0.7171453701099112
checkpoint-14576,0.7366566794411695,0.7583774250440917,0.7272180292057127
checkpoint-12754,0.7432179062531366,0.7627865961199295,0.7371038015428262
checkpoint-2733,0.7580095601369398,0.783068783068783,0.7548083524665424
checkpoint-9110,0.7407529881615882,0.7566137566137566,0.7410964625136471
checkpoint-17309,0.7418324913115804,0.7601410934744268,0.7316742918530889
checkpoint-29152,0.7370306396777979,0.7592592592592593,0.725070638296375
checkpoint-18220,0.7469198778885201,0.7645502645502645,0.7380791122951035
checkpoint-10021,0.7405100892162144,0.7627865961199295,0.7398175014606317
checkpoint-10932,0.7343642103820222,0.7548500881834215,0.7285595548171646
checkpoint-11843,0.7420241679353482,0.7627865961199295,0.7411343721280216
checkpoint-911,0.7725412993038213,0.7107583774250441,0.728005046780348
checkpoint-24597,0.7432403764195857,0.7610229276895943,0.7304143591233763
checkpoint-25508,0.7379823234460027,0.7601410934744268,0.7256468013218195
checkpoint-28241,0.7380881784382295,0.7610229276895943,0.7273981122009796
checkpoint-6377,0.7197377133375928,0.7548500881834215,0.7181489553767468
checkpoint-20042,0.7445302954101121,0.7619047619047619,0.7330518199908527
checkpoint-23686,0.731813097302422,0.7548500881834215,0.7204164571904241
checkpoint-1822,0.7420212714218505,0.7671957671957672,0.7262034349640112
checkpoint-27330,0.7407792168799461,0.7619047619047619,0.7274865316794163
checkpoint-8199,0.7247307013896591,0.7557319223985891,0.7263557209258055
checkpoint-26419,0.7356951950229486,0.7583774250440917,0.7237114355589399
checkpoint-13665,0.7362670010848419,0.7592592592592593,0.7275896933006948
